"Cultivar","Trial","Replicate","Toxin"
"Glasnevin Bonstar","T1","R2",412.65
"Glasnevin Bonstar","T2","R3",127.9
"Glasnevin Bonstar","T2","R4",22.35
"Glasnevin sonas","T1","R1",175.45
"Glasnevin sonas","T1","R2",41.9
"Glasnevin sonas","T2","R3",20
"Glasnevin sonas","T2","R4",53.45
"Glasnevin success No 10","T1","R1",221.8
"Glasnevin success No 10","T1","R2",324.6
"Glasnevin success No 10","T2","R3",60.5
"Glasnevin success No 10","T2","R4",20
"Glasnevin success No 3","T1","R1",171.55
"Glasnevin success No 3","T1","R2",200.75
"Glasnevin success No 3","T2","R3",20
"Glasnevin success No 3","T2","R4",65.9
"IRL029AVE0029","T1","R1",24.05
"IRL029AVE0029","T1","R2",296.05
"IRL029AVE0029","T2","R3",20
"IRL029AVE0029","T2","R4",24.15
"Irlande","T1","R1",161.9
"Irlande","T1","R2",69.55
"Irlande","T2","R3",53.5
"Irlande","T2","R4",142.8
"SandyIr","T1","R1",20
"SandyIr","T1","R2",72
"SandyIr","T2","R3",20
"SandyIr","T2","R4",20
"Stomormont Iris","T1","R1",964.2
"Stomormont Iris","T1","R2",352.5
"Stomormont Iris","T2","R3",24.05
"Stomormont Iris","T2","R4",25.25
"Stormont Arrow","T1","R1",185.4
"Stormont Arrow","T1","R2",184.5
"Stormont Arrow","T2","R3",159.6
"Stormont Arrow","T2","R4",66.5
"Triumph","T1","R1",561.6
"Triumph","T1","R2",244.75
"Triumph","T2","R3",24.75
"Triumph","T2","R4",20
"Tyrone 1994","T1","R1",68.3
"Tyrone 1994","T1","R2",20
"Tyrone 1994","T2","R3",275.25
"Tyrone 1994","T2","R4",58.35
"Tyrone Tawny","T1","R1",20
"Tyrone Tawny","T1","R2",20
"Tyrone Tawny","T2","R3",20
"Tyrone Tawny","T2","R4",34.4
"Victor","T1","R1",512.7
"Victor","T1","R2",1000
"Victor","T2","R3",30.35
"Victor","T2","R4",20
"Wexford Tawny","T1","R1",20
"Wexford Tawny","T1","R2",20
"Wexford Tawny","T2","R3",20
"Wexford Tawny","T2","R4",20
"Aslak","T1","R1",293.4
"Aslak","T1","R2",283.35
"Aslak","T2","R3",174.65
"Aslak","T2","R4",180.6
"Beiar","T1","R1",155.45
"Beiar","T1","R2",75.25
"Beiar","T2","R3",37.65
"Beiar","T2","R4",50.1
"Bikini","T1","R1",361.6
"Bikini","T1","R2",163.35
"Bikini","T2","R3",20
"Bikini","T2","R4",98.55
"Biri","T1","R1",206.6
"Biri","T1","R2",76.35
"Biri","T2","R3",199.8
"Biri","T2","R4",241.4
"Dan","T1","R1",71
"Dan","T1","R2",88.15
"Dan","T2","R3",20
"Dan","T2","R4",20
"Esa","T1","R1",231.05
"Esa","T1","R2",179.45
"Esa","T2","R3",213.75
"Esa","T2","R4",185
"Fix","T1","R1",231.75
"Fix","T1","R2",329.8
"Fix","T2","R3",212.05
"Fix","T2","R4",49.5
"Freja","T1","R1",20
"Freja","T1","R2",20.95
"Freja","T2","R3",20
"Freja","T2","R4",24.25
"Hankkija-773","T1","R1",341.6
"Hankkija-773","T1","R2",61.65
"Hankkija-773","T2","R3",43.25
"Hankkija-773","T2","R4",35.6
"Hannes","T1","R1",20.95
"Hannes","T1","R2",92.15
"Hannes","T2","R3",20
"Hannes","T2","R4",29.75
"Hedvig","T1","R1",50.95
"Hedvig","T1","R2",143
"Hedvig","T2","R3",71.2
"Hedvig","T2","R4",30.5
"Hein II","T1","R1",184.45
"Hein II","T1","R2",613.85
"Hein II","T2","R3",20
